Date,Price,Open,High,Low,Vol.,Change %
3/15/2012,750.00,750.00,750.00,750.00,0.02K,0.81%
3/14/2012,744.00,744.00,744.00,744.00,0.00K,-5.82%
3/2/2012,790.00,725.00,790.00,725.00,0.18K,5.33%
3/1/2012,750.00,725.00,750.00,725.00,0.02K,0.27%
2/24/2012,748.00,748.00,748.00,748.00,0.01K,-5.32%
2/22/2012,790.00,790.00,790.00,790.00,0.01K,4.64%
2/21/2012,755.00,755.00,755.00,755.00,0.20K,-4.43%
2/16/2012,790.00,790.00,790.00,790.00,0.01K,2.46%
2/14/2012,771.00,771.00,771.00,771.00,0.00K,-3.38%
2/9/2012,798.00,780.00,798.00,780.00,0.02K,3.91%
2/7/2012,768.00,768.00,768.00,768.00,0.00K,-5.77%
2/3/2012,815.00,815.00,815.00,815.00,0.06K,4.62%
2/1/2012,779.00,779.00,779.00,779.00,0.00K,5.41%
1/31/2012,739.00,739.00,739.00,739.00,0.00K,-5.86%
1/13/2012,785.00,785.00,785.00,785.00,1.00K,4.53%
1/12/2012,751.00,751.00,751.00,751.00,0.01K,-5.89%
1/9/2012,798.00,730.00,798.00,725.00,0.01K,3.64%
12/30/2011,770.00,770.00,770.00,770.00,4.00K,-3.51%
12/29/2011,798.00,818.00,818.00,773.00,2.11K,-2.56%
12/27/2011,819.00,755.00,819.00,755.00,0.87K,5.00%
12/22/2011,780.00,830.00,830.00,780.00,0.23K,-2.50%
12/20/2011,800.00,780.00,800.00,780.00,10.10K,0.00%
12/19/2011,800.00,800.00,800.00,800.00,1.94K,-1.84%
12/16/2011,815.00,815.00,815.00,815.00,0.26K,2.13%
12/9/2011,798.00,751.00,798.00,751.00,0.15K,0.00%
12/1/2011,798.00,723.00,798.00,721.00,0.01K,4.45%
11/21/2011,764.00,721.00,764.00,720.00,0.06K,5.52%
11/16/2011,724.00,760.00,760.00,723.00,0.06K,0.56%
11/15/2011,720.00,721.00,721.00,720.00,0.01K,-5.26%
11/14/2011,760.00,760.00,760.00,760.00,0.05K,0.66%
11/11/2011,755.00,755.00,755.00,755.00,0.13K,5.59%
11/10/2011,715.00,715.00,715.00,715.00,0.10K,-5.92%
11/4/2011,760.00,760.00,760.00,760.00,0.25K,3.83%
11/3/2011,732.00,705.00,732.00,705.00,0.19K,0.00%
10/26/2011,732.00,733.00,733.00,732.00,0.11K,3.10%
10/24/2011,710.00,711.00,711.00,710.00,0.21K,-4.44%
10/21/2011,743.00,743.00,743.00,743.00,0.15K,5.84%
10/20/2011,702.00,702.00,702.00,702.00,0.03K,-5.90%
