"Date","Price","Open","High","Low","Vol.","Change %"
"03/20/2014","192.00","191.50","193.00","191.50","6.42K","0.00%"
"03/19/2014","192.00","191.15","192.00","191.15","4.77K","0.00%"
"03/18/2014","192.00","191.15","192.00","190.10","24.05K","-0.47%"
"03/17/2014","192.90","191.15","192.90","191.15","13.02K","0.47%"
"03/14/2014","192.00","191.30","192.00","191.30","9.35K","-0.52%"
"03/13/2014","193.00","191.30","193.00","191.30","16.36K","0.89%"
"03/12/2014","191.30","191.30","192.20","191.30","168.69K","-1.14%"
"03/11/2014","193.50","191.15","193.50","191.15","27.22K","1.31%"
"03/10/2014","191.00","191.00","191.00","191.00","0.32K","-0.52%"
"03/07/2014","192.00","191.70","192.00","191.50","30.81K","0.00%"
"03/06/2014","192.00","192.00","192.00","191.50","81.18K","0.10%"
"03/05/2014","191.80","191.55","191.80","191.55","4.33K","-0.88%"
"03/04/2014","193.50","191.00","193.50","190.10","7.59K","1.31%"
"03/03/2014","191.00","191.50","192.00","191.00","50.93K","-0.98%"
"02/28/2014","192.90","192.50","193.50","192.00","92.37K","0.73%"
"02/27/2014","191.50","191.50","191.50","191.50","3.14K","-0.03%"
"02/26/2014","191.55","191.50","191.55","191.50","12.31K","0.03%"
"02/25/2014","191.50","193.00","193.00","191.50","372.97K","-1.24%"
"02/24/2014","193.90","192.55","193.90","192.55","49.22K","0.10%"
"02/21/2014","193.70","193.00","193.70","193.00","1.60K","0.00%"
"02/20/2014","193.70","193.20","193.70","193.05","6.48K","0.36%"
"02/19/2014","193.00","193.00","193.00","193.00","3.98K","-0.36%"
"02/18/2014","193.70","193.00","193.70","193.00","2.48K","0.36%"
"02/17/2014","193.00","192.00","193.00","192.00","3.14K","0.47%"
"02/14/2014","192.10","192.00","192.10","192.00","2.31K","0.05%"
"02/13/2014","192.00","192.00","192.00","192.00","2.44K","-0.83%"
"02/12/2014","193.60","191.60","193.60","191.60","7.36K","1.04%"
"02/11/2014","191.60","192.00","192.00","191.60","16.15K","-0.21%"
